arrival_time,amplitude,icloud,distance,station,station_y,station_x,Max_disp_10_49_Z,CF_1_49_Z,CF_vel_1_49_Z,polarity,trig_on,trig_off
2017-08-11 05:40:24.691956+00:00,-36.74,False,7016.31,A145A,47.8673,12.396,6.42105501062e-09,10.9304867099,17.9650989435,Negative,4792,5785
2017-07-07 22:40:40.031835+00:00,4.96,True,7017.87,A032A,48.123,13.3063,4.22458465274e-08,11.7848534349,23.7511080235,Positive,4493,7950
2016-06-08 12:37:09.212426+00:00,-4.81,False,7019.61,A026A,46.9332,14.5516,8.14986913385e-09,28.2156045535,36.2918165515,Negative,3623,4806
2016-06-03 14:32:03.698181+00:00,-8.31,True,7021.21,A144A,48.0979,12.0838,1.44890176579e-09,3.58669710992,19.1059119242,Negative,4725,5117
2016-08-29 05:53:01.254402+00:00,81.33,False,7024.23,A031A,48.4272,13.4975,4.3880005908e-08,25.8565169733,33.4201411491,Positive,4253,6107
2016-07-11 21:03:59.933280+00:00,11.29,True,7028.27,A038A,47.4642,11.9188,1.99887568524e-08,16.0628214028,30.0027800915,Positive,4340,7324
2017-07-10 16:42:15.564057+00:00,3.78,True,7029.92,A033A,47.4797,13.126,6.81483572519e-09,17.0104682162,34.8811902613,Positive,5431,6163
2017-08-08 15:31:50.347764+00:00,6.41,True,7036.14,A143A,47.6836,11.0032,2.29247076108e-09,10.0845375023,24.0895082015,Positive,4970,6164
2019-08-02 13:02:56.657471+00:00,6.29,True,7059.35,A033A,47.4797,13.126,6.64015492947e-09,12.2745689562,26.7782155688,Positive,3749,5387
2018-08-07 15:53:06.570318+00:00,4.49,True,7067.04,A032A,48.123,13.3063,1.22640054726e-08,19.1021011992,39.870858757,Positive,4482,5511
2018-07-25 20:42:58.768930+00:00,7.33,True,7100.83,A032A,48.123,13.3063,9.44402375999e-09,19.9836868923,39.9422074732,Positive,4124,5588
2019-03-11 17:19:32.738628+00:00,-5.61,True,7117.46,A032A,48.123,13.3063,1.91414525095e-08,11.436435621,28.8568799013,Negative,3358,4814
2020-07-23 14:52:45.270156+00:00,-4.4,True,7118.46,A008A,48.3687,15.6522,4.24472642497e-09,8.58115242528,26.4858676626,Negative,5676,6381
2016-06-05 00:09:29.407745+00:00,-11.1,False,7165.53,A361A,48.7909,10.8171,1.13941909336e-08,4.48543876972,22.0455404828,Negative,3824,5593
2017-07-08 04:12:11.394858+00:00,-5.09,True,7166.55,A143A,47.6836,11.0032,1.33399730048e-09,17.1159898833,44.4700956588,Negative,4998,5808
2018-08-23 18:04:50.722124+00:00,1.61,True,7216.78,A033A,47.4797,13.126,7.77425192171e-09,13.9028992571,30.6528140169,Positive,4720,6107
2016-06-30 22:38:07.088931+00:00,-21.63,True,7238.9,A362A,48.3636,10.4021,1.51304437508e-08,7.11684484752,22.2357281326,Negative,3920,5604
2018-12-10 15:50:57.307173+00:00,-11.36,False,7247.76,A032A,48.123,13.3063,3.48664084813e-08,12.2667884141,29.5731257243,Negative,3244,4715
2016-08-29 13:14:42.082502+00:00,4.03,True,7317.46,A029A,47.4301,13.7611,5.13125735893e-09,27.4635821463,36.3458886097,Positive,4505,6824
2017-06-06 16:09:16.098138+00:00,-4.4,False,7369.03,A026A,46.9332,14.5516,1.41290331703e-09,16.0456807464,32.3831924322,Negative,3864,5942
2017-05-19 01:07:54.318370+00:00,-8.94,True,7386.86,A117A,49.0441,9.56839,8.7706216523e-09,23.4829119509,38.2574328578,Negative,4569,5549
2016-06-30 11:48:28.925183+00:00,3.78,True,7396.41,A033A,47.4797,13.126,3.79340235244e-09,11.3366239626,40.017878855,Positive,4824,5771
2016-07-11 14:40:37.199879+00:00,6.16,True,7435.64,A018A,47.7437,15.0776,1.5827479023e-08,32.9584384718,40.7232051714,Positive,4598,6923
2017-07-24 08:33:48.470795+00:00,4.94,True,7473.86,A028A,47.103,13.9958,4.35114866079e-08,21.127147805,34.8987163636,Positive,3743,7417
2016-07-13 20:21:46.499926+00:00,6.04,True,7474.82,A021A,46.7566,15.8253,4.48675202251e-08,15.4017626625,26.7295576832,Positive,4281,6515
2016-05-02 15:16:06.938672+00:00,-6.39,True,7480.41,A024A,48.2131,14.1367,1.49428516447e-08,5.96802798758,24.5562490003,Negative,4420,5411
2016-08-05 11:55:36.571137+00:00,7.92,True,7509.59,A018A,47.7437,15.0776,5.40571918076e-08,35.2839388795,40.8511111108,Positive,4806,6420
2017-04-10 14:40:41.768251+00:00,-4.07,True,7539.3,A020A,46.9484,15.2994,6.23767231004e-09,6.35816309587,27.0599758222,Negative,4660,5441
2016-06-08 15:04:31.908699+00:00,-2.02,True,7546.17,A148A,48.478,12.4605,2.79255541938e-08,9.35227517141,12.4502059578,Negative,3475,5098
2016-07-30 23:31:40.553640+00:00,-8.6,False,7565.54,A029A,47.4301,13.7611,1.01143488945e-08,34.1959534843,36.9853146878,Negative,3989,5732
2017-03-17 15:46:32.175368+00:00,3.31,True,7613.53,A359A,48.8331,12.6421,2.19836535441e-06,10.7814573145,14.246140286,Positive,3357,5604
